ID,Nome,Data de Nascimento,Nacionalidade,Matriculas,ECTS,Ano do Curso,Media Atual
2136,Barbara Almeida,24-10-1999,Portuguesa,6,79,3,18.00
3061,Luiz Otavio Almeida,19-02-2000,Portuguesa,6,79,2,14.90
2449,Davi Almeida,28-08-1991,Italiana,1,10,2,16.20
1861,Ana Julia Almeida,04-03-1995,Portuguesa,3,125,3,14.50
2546,Davi Lucas Almeida,14-09-2000,Brasileira,5,34,1,14.60
1334,Julia Almeida,19-03-2000,Portuguesa,3,125,2,12.50
2349,Joao Almeida,30-12-2002,Guineense,6,79,1,19.40
1960,Stephany Almeida,17-07-1996,Portuguesa,5,34,3,11.20
1342,Gabriela Almeida,11-12-2003,Espanhola,4,139,3,12.40
2667,Heitor Almeida,29-03-2002,Portuguesa,2,30,2,17.00
2028,Marcos Vinicius Almeida,19-10-1994,Mocambicana,2,30,1,17.50
1261,Andre Almeida,21-10-1994,Mocambicana,5,34,2,11.10
1567,Ana Luiza Almeida,16-11-1992,Timorense,2,30,1,16.10
3212,Vitor Gabriel Almeida,14-04-1994,Angolana,1,10,3,15.60
1592,Isaac Almeida,13-12-1994,Francesa,1,10,1,14.60
2066,Maria Eduarda Almeida,08-04-1998,Portuguesa,1,10,2,16.40
2421,Yago Almeida,19-06-1994,Portuguesa,2,30,3,17.60
2820,Maria Cecilia Alves,17-07-2002,Guineense,1,10,2,16.60
2441,Joao Guilherme Alves,04-10-2000,Portuguesa,2,30,3,15.60
1404,Otavio Alves,18-07-1994,Portuguesa,2,30,2,12.20
2806,Paulo Alves,07-09-1991,Portuguesa,4,139,2,16.10
2071,Rafaela Alves,04-10-1998,Portuguesa,6,79,3,15.70
1306,Eloah Alves,17-09-2004,Portuguesa,3,125,2,14.40
2373,Nicolas Alves,13-10-1992,Mocambicana,1,10,1,15.00
1371,Kamilly Alves,05-05-1990,Angolana,6,79,2,17.60
2799,Olivia Alves,25-03-2002,Portuguesa,6,79,1,16.30
3100,Barbara Alves,05-10-1990,Portuguesa,1,10,3,14.10
2370,Olivia Alves,05-12-1999,Portuguesa,6,79,3,11.40
1262,Eloah Alves,01-10-1997,Portuguesa,2,30,3,11.40
1641,Sarah Alves,24-08-1997,Portuguesa,5,34,3,12.30
2144,Diego Alves,18-04-1994,Portuguesa,6,79,1,18.10
3073,Joao Felipe Alves,07-02-1998,Portuguesa,5,34,2,13.40
1318,Anthony Alves,22-01-2004,Francesa,3,125,2,17.50
2280,Diogo Alves,01-12-1999,Portuguesa,5,34,2,19.80
1674,Rebeca Alves,16-03-1992,Portuguesa,5,34,3,13.10
2692,Emanuelly Alves,29-01-2002,Portuguesa,5,34,2,15.20
3006,Ana Alves,26-11-1992,Portuguesa,4,139,1,12.70
2330,Stella Alves,28-06-1995,Mocambicana,5,34,3,15.70
2687,Raquel Alves,30-10-2001,Angolana,3,125,2,17.00
1722,Ana Livia Alves,05-10-1995,Portuguesa,5,34,1,15.70
2158,Lavinia Alves,27-11-1994,Timorense,2,30,2,11.90
1726,Lucas Alves,04-10-1993,Portuguesa,5,34,3,11.60
1736,Antonio Alves,11-06-2000,Portuguesa,4,139,3,14.60
3002,Valentina Alves,16-05-1997,Portuguesa,1,10,3,14.00
1745,Caroline Alves,30-04-1999,Portuguesa,5,34,2,15.40
1452,Lucca Alves,07-11-2001,Portuguesa,6,79,1,14.50
3190,Sabrina Alves,24-12-1990,Portuguesa,6,79,2,16.80
1746,Larissa Alves,21-07-1999,Portuguesa,5,34,1,14.10
2826,Sophia Alves,10-06-1998,Portuguesa,6,79,2,16.20
1478,Danilo Aragao,26-10-1992,Portuguesa,1,10,3,16.70
2566,Raul Aragao,06-02-1991,Francesa,2,30,2,15.90
2316,Luiz Fernando Aragao,05-05-1996,Timorense,4,139,2,16.90
1408,Enrico Aragao,28-10-2001,Guineense,5,34,1,17.90
2737,Daniel Aragao,15-03-1996,Portuguesa,6,79,2,19.10
2741,Leandro Aragao,08-09-1995,Portuguesa,3,125,2,18.50
2939,Vicente Aragao,20-04-1991,Italiana,3,125,3,19.20
1257,Thales Aragao,20-12-1996,Portuguesa,4,139,2,18.60
3098,Maria Luiza Aragao,09-11-1992,Portuguesa,4,139,2,18.30
1931,Lucas Gabriel Aragao,21-09-2000,Portuguesa,5,34,1,17.80
2386,Nina Aragao,10-08-2001,Portuguesa,3,125,1,19.50
2224,Evelyn Aragao,03-10-1999,Portuguesa,1,10,2,11.50
2222,Livia Aragao,20-01-1997,Portuguesa,3,125,3,12.30
2163,Kevin Aragao,02-04-1997,Portuguesa,3,125,2,18.90
1903,Ana Laura Aragao,15-12-1995,Italiana,4,139,2,18.70
2918,Isaac Araujo,24-02-1995,Portuguesa,4,139,3,12.80
2418,Maria Fernanda Araujo,26-11-1991,Portuguesa,3,125,2,16.10
1235,Alexandre Araujo,09-11-1992,Brasileira,2,30,3,14.00
1335,Pedro Lucas Araujo,01-09-2003,Portuguesa,2,30,3,11.00
2745,Alana Araujo,19-10-2003,Portuguesa,1,10,2,15.70
1776,Stella Araujo,28-12-1997,Portuguesa,4,139,1,13.60
1787,Lucas Gabriel Araujo,26-10-1996,Portuguesa,1,10,3,15.20
2462,Samuel Araujo,15-10-1993,Brasileira,3,125,3,13.90
3184,Rafael Araujo,11-07-2003,Angolana,1,10,3,15.40
2768,Alice Araujo,15-09-1992,Portuguesa,5,34,2,15.80
1455,Maria Julia Araujo,28-11-1995,Guineense,2,30,2,14.50
1864,Diogo Araujo,04-10-1993,Portuguesa,4,139,3,18.10
2793,Daniel Araujo,25-04-1992,Portuguesa,1,10,2,19.50
3163,Maria Vitoria Araujo,07-07-2000,Portuguesa,4,139,2,11.10
1856,Samuel Araujo,20-11-1999,Portuguesa,3,125,1,13.60
3156,Emanuella Araujo,21-11-1996,Portuguesa,3,125,2,13.90
1369,Joana Araujo,09-11-1996,Portuguesa,1,10,3,18.10
2997,Joana Araujo,10-12-2004,Portuguesa,1,10,2,17.80
1497,Joao Felipe Araujo,08-06-1993,Italiana,4,139,1,17.70
3072,Eloah Araujo,29-07-2001,Portuguesa,2,30,3,12.60
2364,Raquel Araujo,25-09-2002,Portuguesa,4,139,3,14.60
2838,Isis Araujo,02-06-2004,Angolana,5,34,1,16.00
1973,Gabrielly Araujo,03-04-2002,Portuguesa,6,79,1,16.10
2506,Luiz Henrique Azevedo,04-06-1999,Portuguesa,2,30,2,18.90
2523,Olivia Azevedo,22-06-1994,Portuguesa,3,125,3,13.60
2530,Leonardo Azevedo,23-02-2004,Mocambicana,5,34,2,15.70
2036,Luigi Azevedo,05-02-1995,Portuguesa,5,34,1,19.50
2499,Juan Azevedo,08-05-1997,Portuguesa,2,30,2,14.90
3066,Isis Azevedo,27-05-1999,Guineense,6,79,3,15.00
1364,Catarina Azevedo,21-04-2001,Portuguesa,4,139,3,13.80
2162,Luana Azevedo,02-07-1994,Portuguesa,6,79,3,17.30
2460,Kamilly Azevedo,11-06-1996,Portuguesa,5,34,3,19.50
1642,Larissa Azevedo,27-10-1990,Portuguesa,1,10,2,12.50
3015,Maria Luiza Azevedo,10-06-2000,Portuguesa,6,79,2,15.50
1295,Raquel Azevedo,19-07-2004,Portuguesa,5,34,3,16.00
2618,Maria Azevedo,11-10-1994,Portuguesa,1,10,1,13.50
1663,Yuri Azevedo,16-01-2002,Portuguesa,5,34,1,13.10
3045,Lais Azevedo,06-09-1991,Portuguesa,1,10,1,14.10
1763,Agatha Azevedo,03-07-2003,Portuguesa,4,139,3,17.60
1667,Ana Clara Azevedo,03-08-1998,Portuguesa,6,79,3,12.90
2287,Alana Azevedo,04-07-2004,Portuguesa,5,34,2,15.10
3187,Isaac Azevedo,26-09-1997,Portuguesa,5,34,3,16.10
2516,Stella Azevedo,01-08-1996,Portuguesa,4,139,2,17.50
1298,Marcos Vinicius Azevedo,28-01-1996,Brasileira,5,34,3,13.60
1971,Pedro Henrique Azevedo,21-06-1990,Brasileira,2,30,1,16.90
2819,Ana Julia Barbosa,01-06-2001,Portuguesa,5,34,3,14.50
2120,Carolina Barbosa,15-10-2002,Angolana,5,34,1,19.00
1453,Thales Barbosa,10-04-1991,Timorense,2,30,3,16.10
1465,Heitor Barbosa,19-07-1992,Portuguesa,4,139,3,12.60
2500,Gabriel Barbosa,27-12-1990,Brasileira,5,34,1,17.30
1474,Isadora Barbosa,06-10-1992,Portuguesa,4,139,1,13.70
2292,Levi Barbosa,25-09-1997,Portuguesa,1,10,3,14.00
2094,Rodrigo Barbosa,21-05-1999,Italiana,3,125,2,17.20
2093,Heloisa Barbosa,28-04-2004,Italiana,4,139,3,13.60
2347,Joao Guilherme Barbosa,19-12-1993,Portuguesa,4,139,1,12.10
2632,Thomas Barbosa,06-03-1992,Brasileira,5,34,2,18.40
